time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-04-08 19:29:06.641834,1084227584,1017370378,30000,1,0,1,9129,1,7912,8000,3216,11296,1118437376,1119092736,1,6720,16480,15456,7176,7520,12256,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,8065,15936,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:07.142634,1084227584,1017370378,30000,1,0,1,9135,1,7888,8000,3216,11296,1118437376,1119092736,1,6720,16456,15456,7152,7528,12256,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,5582,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:07.641351,1084227584,1017370378,30000,1,0,1,9140,1,7912,8000,3216,11296,1118437376,1119092736,1,6720,16448,15456,7184,7504,12256,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,2956,16024,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:08.138041,1084227584,1017370378,30000,1,0,1,9146,1,7888,8000,3192,11296,1118437376,1119092736,1,6720,16440,15456,7176,7512,12248,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:08.634824,1084227584,1017370378,30000,1,0,1,9154,1,7888,8000,3216,11296,1118437376,1119092736,1,6720,16424,15376,7184,7496,12240,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,1382,16064,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:09.133666,1084227584,1017370378,30000,1,0,1,9160,1,7912,8000,3160,11296,1118437376,1119092736,1,6720,16424,15376,7152,7488,12240,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:09.634453,1084227584,1017370378,30000,1,0,1,9165,1,7888,8000,3104,11296,1118437376,1119092736,1,6720,16392,15352,7152,7472,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,0,1,1382,16048,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:10.135371,1084227584,1017370378,30000,1,0,1,9174,1,7888,8000,3104,11296,1118437376,1119092736,1,6720,16392,15352,7152,7456,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16072,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:10.633226,1084227584,1017370378,30000,1,0,1,9179,1,7888,8000,3104,11296,1118437376,1119092736,1,6720,16392,15344,7152,7456,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:11.129940,1084227584,1017370378,30000,1,0,1,9185,1,7880,8000,3104,11296,1118437376,1119092736,1,6720,16368,15320,7152,7456,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16056,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:11.630697,1084227584,1017370378,30000,1,0,1,9193,1,7912,8000,3112,11296,1118437376,1119092736,1,6720,16336,15320,7152,7456,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16000,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:12.129407,1084227584,1017370378,30000,1,0,1,9198,1,7880,8000,3104,11296,1118437376,1119092736,1,6720,16368,15296,7184,7440,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16016,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:12.628173,1084227584,1017370378,30000,1,0,1,9201,1,7880,8000,3104,11520,1118437376,1119092736,1,6720,16336,15296,7152,7448,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:13.127054,1084227584,1017370378,30000,1,0,1,9201,1,7912,8000,3104,11520,1118437376,1119092736,1,6720,16312,15272,7176,7432,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16008,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:13.625910,1084227584,1017370378,30000,1,0,1,9201,1,7880,8000,3080,11520,1118437376,1119092736,1,6720,16312,15272,7152,7432,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16000,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:14.126664,1084227584,1017370378,30000,1,0,1,9204,1,7888,8000,3104,11296,1118437376,1119092736,1,6720,16312,15272,7184,7432,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16032,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:14.627327,1084227584,1017370378,30000,1,0,1,9210,1,7888,8000,3104,11520,1118437376,1119092736,1,6720,16280,15240,7152,7432,12232,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16040,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-08 19:29:15.125994,1084227584,1017370378,30000,1,0,1,9210,1,7880,8000,3104,11520,1118437376,1119092736,1,6720,16312,15240,7152,7424,12200,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16024,0,1,0,0,65512,0,0,1,0,1,1,Normal
