time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-04-09 10:58:23.518459,1084227584,1017370378,30000,1,0,1,9088,1,7968,7968,3224,11528,1118437376,1119092736,1,7136,12264,12792,7464,8016,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:24.018990,1084227584,1017370378,30000,1,0,1,9088,1,7968,7976,3224,11528,1118437376,1119092736,1,7112,12192,12760,7464,8040,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:24.516985,1084227584,1017370378,30000,1,0,1,9088,1,7968,7976,3224,11528,1118437376,1119092736,1,7112,12192,12768,7464,8024,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:25.015361,1084227584,1017370378,30000,1,0,1,9088,1,7968,7976,3224,11528,1118437376,1119092736,1,7112,12208,12736,7464,8040,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16128,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:25.511460,1084227584,1017370378,30000,1,0,1,9088,1,7968,7976,3224,11528,1118437376,1119092736,1,7136,12208,12736,7464,8048,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:26.014033,1084227584,1017370378,30000,1,0,1,9088,1,7944,7976,3224,11528,1118437376,1119092736,1,7136,12192,12704,7464,8048,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:26.516956,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7136,12192,12736,7464,8048,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:27.014998,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12192,12704,7464,8056,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16152,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:27.513412,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7136,12160,12704,7464,8040,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:28.011419,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7136,12160,12680,7464,8056,11416,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:28.510421,1084227584,1017370378,30000,1,0,1,9085,1,7968,7976,3224,11528,1118437376,1119092736,1,7136,12160,12680,7464,8040,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:29.008587,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12136,12680,7464,8056,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:29.507528,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12152,12656,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:30.006140,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7136,12136,12648,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16128,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:30.505099,1084227584,1017370378,30000,1,0,1,9085,1,7968,7976,3224,11528,1118437376,1119092736,1,7112,12136,12648,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:31.003132,1084227584,1017370378,30000,1,0,1,9085,1,7968,7976,3224,11528,1118437376,1119092736,1,7112,12136,12648,7464,8048,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16128,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:31.501311,1084227584,1017370378,30000,1,0,1,9085,1,7952,7976,3224,11528,1118437376,1119092736,1,7136,12136,12624,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:32.000161,1084227584,1017370378,30000,1,0,1,9085,1,7944,8000,3224,11528,1118437376,1119092736,1,7112,12136,12624,7464,8064,11440,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:32.498274,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7136,12136,12608,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:32.995078,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12136,12600,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:33.493725,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12104,12600,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:33.993746,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12080,12568,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:34.492032,1084227584,1017370378,30000,1,0,1,9085,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12080,12600,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:34.992039,1084227584,1017370378,30000,1,0,1,9082,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12080,12600,7464,8072,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:35.490053,1084227584,1017370378,30000,1,0,1,9082,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12080,12600,7464,8056,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:35.988222,1084227584,1017370378,30000,1,0,1,9082,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12048,12600,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16144,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:36.484246,1084227584,1017370378,30000,1,0,1,9082,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12048,12600,7464,8064,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:36.981466,1084227584,1017370378,30000,1,0,1,9082,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12048,12520,7464,8072,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16136,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-09 10:58:37.479773,1084227584,1017370378,30000,1,0,1,9082,1,7944,7976,3224,11528,1118437376,1119092736,1,7112,12048,12496,7440,8072,11424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16128,0,1,0,0,65512,0,0,1,0,1,1,Normal
