time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-03-28 13:50:03.253021,1084227584,1017370378,30000,1,0,1,8449,1,5840,5832,4240,11520,1118437376,1119092736,0,5584,12848,17144,5912,8608,9888,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1581,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 13:50:03.751703,1084227584,1017370378,30000,1,0,1,8449,1,5808,5832,4240,11520,1118437376,1119092736,0,5584,12848,17120,5912,8608,9888,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1512,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 13:50:04.248316,1084227584,1017370378,30000,1,0,1,8449,1,5816,5832,4240,11520,1118437376,1119092736,0,5584,12848,17088,5912,8608,9888,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1523,15840,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 13:50:04.746426,1084227584,1017370378,30000,1,0,1,8449,1,5840,5832,4240,11528,1118437376,1119092736,0,5584,12824,17088,5912,8608,9880,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1645,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 13:50:05.245188,1084227584,1017370378,30000,1,0,1,8449,1,5808,5832,4240,11528,1118437376,1119092736,0,5584,12816,17064,5912,8624,9880,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1731,15840,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 13:50:05.745364,1084227584,1017370378,30000,1,0,1,8449,1,5840,5832,4240,11520,1118437376,1119092736,0,5584,12816,17056,5912,8600,9880,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1637,15856,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 13:50:06.243750,1084227584,1017370378,30000,1,0,1,8449,1,5808,5832,4240,11520,1118437376,1119092736,0,5584,12792,17032,5912,8616,9880,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1590,15840,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 13:50:06.744668,1084227584,1017370378,30000,1,0,1,8449,1,5840,5832,4240,11520,1118437376,1119092736,0,5584,12792,17032,5912,8608,9880,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1504,15856,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 13:50:07.243454,1084227584,1017370378,30000,1,0,1,8449,1,5840,5832,4240,11528,1118437376,1119092736,0,5616,12792,17008,5912,8600,9880,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15856,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 13:50:07.741443,1084227584,1017370378,30000,1,0,1,8449,1,5840,5832,4272,11520,1118437376,1119092736,0,5584,12792,17000,5944,8616,9880,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15864,0,1,0,0,65512,0,0,1,0,1,1,Normal
