time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-04-12 15:46:22.038502,1084227584,1017370378,30000,1,0,1,8303,1,9856,10224,3832,11528,1118437376,1119092736,0,8440,21352,20040,9160,8528,12448,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65520,0,0,1,0,1,1,Normal
2022-04-12 15:46:22.538757,1084227584,1017370378,30000,1,0,1,8303,1,9856,10224,3832,11528,1118437376,1119092736,0,8408,21352,20040,9160,8528,12448,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16048,0,1,0,0,65520,0,0,1,0,1,1,Normal
2022-04-12 15:46:23.037170,1084227584,1017370378,30000,1,0,1,8303,1,9856,10224,3832,11528,1118437376,1119092736,0,8440,21352,20040,9128,8536,12440,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16008,0,1,0,0,65520,0,0,1,0,1,1,Normal
2022-04-12 15:46:23.537893,1084227584,1017370378,30000,1,0,1,8303,1,9856,10224,3832,11528,1118437376,1119092736,0,8408,21352,20040,9128,8544,12440,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16008,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:24.038481,1084227584,1017370378,30000,1,0,1,8303,1,9856,10224,3832,11528,1118437376,1119092736,0,8408,21352,20040,9160,8536,12440,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15984,0,1,0,0,65520,0,0,1,0,1,1,Normal
2022-04-12 15:46:24.534647,1084227584,1017370378,30000,1,0,1,8303,1,9856,10224,3832,11528,1118437376,1119092736,0,8440,21384,20040,9160,8552,12440,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15992,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:25.035288,1084227584,1017370378,30000,1,0,1,8303,1,9856,10224,3832,11528,1118437376,1119092736,0,8440,21384,20040,9160,8536,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16000,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:25.533859,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3832,11528,1118437376,1119092736,0,8440,21352,20064,9160,8552,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16000,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:26.036214,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3832,11528,1118437376,1119092736,0,8440,21352,20040,9160,8536,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16016,0,1,0,0,65520,0,0,1,0,1,1,Normal
2022-04-12 15:46:26.534719,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3832,11528,1118437376,1119092736,0,8408,21384,20048,9128,8552,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15992,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:27.037166,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3808,11528,1118437376,1119092736,0,8408,21384,20072,9160,8536,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16008,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:27.537414,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3832,11528,1118437376,1119092736,0,8408,21384,20072,9160,8536,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15992,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:28.038015,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3832,11528,1118437376,1119092736,0,8408,21384,20072,9160,8552,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16000,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:28.538446,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3832,11528,1118437376,1119092736,0,8440,21352,20072,9160,8544,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15976,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:29.036880,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3832,11528,1118437376,1119092736,0,8408,21384,20072,9160,8552,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16000,0,1,0,0,65520,0,0,1,0,1,1,Normal
2022-04-12 15:46:29.535245,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3832,11528,1118437376,1119092736,0,8440,21376,20072,9152,8536,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15992,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-12 15:46:30.035953,1084227584,1017370378,30000,1,0,1,8300,1,9856,10224,3832,11528,1118437376,1119092736,0,8408,21352,20072,9128,8552,12424,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,15984,0,1,0,0,65512,0,0,1,0,1,1,Normal
