time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-03-28 15:00:28.527983,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4328,11520,1118437376,1119092736,0,5864,13488,17416,6072,8632,9856,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1922,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:29.026132,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4296,11520,1118437376,1119092736,0,5888,13488,17416,6072,8632,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2085,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:29.527027,1084227584,1017370378,30000,1,0,1,7996,1,6088,6112,4296,11520,1118437376,1119092736,0,5888,13488,17400,6072,8640,9856,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2237,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:30.027207,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4296,11520,1118437376,1119092736,0,5864,13488,17400,6072,8624,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2607,15816,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:30.527263,1084227584,1017370378,30000,1,0,1,7996,1,6088,6096,4296,11520,1118437376,1119092736,0,5864,13488,17400,6072,8648,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2765,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:31.025545,1084227584,1017370378,30000,1,0,1,7996,1,6088,6112,4296,11520,1118437376,1119092736,0,5864,13488,17400,6072,8624,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2707,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:31.526240,1084227584,1017370378,30000,1,0,1,7996,1,6064,6080,4296,11520,1118437376,1119092736,0,5864,13488,17400,6072,8640,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2743,15840,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:32.026331,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4296,11520,1118437376,1119092736,0,5864,13488,17400,6072,8632,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2687,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:32.527082,1084227584,1017370378,30000,1,0,1,7996,1,6088,6112,4328,11528,1118437376,1119092736,0,5864,13456,17400,6072,8632,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2817,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:33.023626,1084227584,1017370378,30000,1,0,1,7996,1,6088,6112,4328,11528,1118437376,1119092736,0,5864,13432,17296,6072,8632,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2969,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:33.519933,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4296,11520,1118437376,1119092736,0,5864,13400,17256,6072,8632,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3030,15840,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:34.017642,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4296,11528,1118437376,1119092736,0,5888,13400,17256,6104,8632,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3163,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:34.518571,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4328,11520,1118437376,1119092736,0,5880,13400,17256,6072,8632,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3138,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:35.018833,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4328,11520,1118437376,1119092736,0,5888,13400,17232,6072,8632,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3074,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:35.514880,1084227584,1017370378,30000,1,0,1,7996,1,6088,6112,4328,11520,1118437376,1119092736,0,5872,13376,17232,6072,8600,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2928,15856,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:36.013053,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4296,11520,1118437376,1119092736,0,5864,13400,17200,6096,8608,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2834,15848,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:36.515548,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4328,11520,1118437376,1119092736,0,5864,13344,17200,6080,8592,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,2922,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:37.016248,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4296,11520,1118437376,1119092736,0,5888,13368,17176,6096,8608,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3152,15824,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:37.514343,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4296,11520,1118437376,1119092736,0,5864,13376,17176,6096,8600,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3268,15840,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-03-28 15:00:38.016581,1084227584,1017370378,30000,1,0,1,7996,1,6088,6080,4296,11520,1118437376,1119092736,0,5888,13344,17144,6104,8608,9848,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,3381,15832,0,1,0,0,65512,0,0,1,0,1,1,Normal
