time,flowRateSetting,flowKP,flowKI,coolingWaterSwitch,3#ConValOffInd,3#ConValOnInd,coolingWaterVal,coolingWaterStart,coolingWaterInletTemp,coolingWaterDisTemp,coolingWaterPre,coolingWaterFlowRate,heaterStartPoint,heaterStopPoint,heaterSwitch,inletTemp,topTemp,middleTemp,condTemp,kettleTemp,heaterTemp,liqLevSetting,liqLevKP,liqLevKI,1#Solenoid,4#Solenoid,5#Solenoid,1#FreqPump,1#MetPump,2#FreqPump,2#MetPump,1#ConValveOffInd,1#ConValveOnInd,feedVal,towerLiqLev,2#Solenoid,2#ConValveOffInd,2#ConValOnInd,preCon,secPre,3#Solenoid,soundLightAlarm,emergencyStop,sysManual,sysAuto,sysStart,class
2022-04-13 18:39:19.921973,1084227584,1017370378,30000,1,0,1,8256,1,7968,8216,3920,11528,1118437376,1119092736,0,7056,18368,18632,7384,8392,11856,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16088,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:39:20.422642,1084227584,1017370378,30000,1,0,1,8256,1,8000,8216,3920,11528,1118437376,1119092736,0,7056,18392,18632,7384,8384,11856,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:39:20.918632,1084227584,1017370378,30000,1,0,1,8256,1,7968,8216,3920,11528,1118437376,1119092736,0,7024,18392,18632,7384,8384,11856,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:39:21.414785,1084227584,1017370378,30000,1,0,1,8256,1,8000,8216,3920,11528,1118437376,1119092736,0,7024,18424,18608,7384,8384,11856,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:39:21.912781,1084227584,1017370378,30000,1,0,1,8256,1,7968,8216,3920,11528,1118437376,1119092736,0,7024,18424,18632,7384,8384,11856,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:39:22.411202,1084227584,1017370378,30000,1,0,1,8256,1,8000,8216,3920,11528,1118437376,1119092736,0,7024,18424,18632,7384,8384,11864,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16104,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:39:22.909200,1084227584,1017370378,30000,1,0,1,8256,1,8000,8216,3920,11528,1118437376,1119092736,0,7024,18440,18632,7384,8384,11864,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16088,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:39:23.407376,1084227584,1017370378,30000,1,0,1,8256,1,7968,8216,3920,11528,1118437376,1119092736,0,7024,18472,18608,7384,8384,11872,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:39:23.908983,1084227584,1017370378,30000,1,0,1,8256,1,8000,8216,3920,11528,1118437376,1119092736,0,7056,18472,18608,7384,8360,11864,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
2022-04-13 18:39:24.414955,1084227584,1017370378,30000,1,0,1,8253,1,7968,8240,3920,11528,1118437376,1119092736,0,7056,18472,18608,7384,8368,11872,1036831949,1106247680,30000,1,1,1,1,0,1,0,1,0,1382,16096,0,1,0,0,65512,0,0,1,0,1,1,Normal
